toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
2000.02,371188886,CP,09h45m35.3s,146.397063,-66d41m11.87s,-66.686631,-73.323,12.578,2460038.82,3.098367,1.963,496,2.47118,328.067,1185,10.3579,175.713,5400,4.43,1.18,2022-03-24 22:19,2023-12-03 12:03
2001.01,118084044,PC,08h32m43.53s,128.181355,-58d34m31.84s,-58.575511,-2.261,3.211,2459256.141,2.7435213,1.8047048,1518.901285,22.0496668,22630.15531,3128.179266,8.9578,500.027,7896.3,3.6,3.9611499,2020-06-17 20:08,2025-07-09 16:00
2002.01,356453768,FP,08h56m45.65s,134.190203,-61d22m17.26s,-61.371461,-70.24,0.73,2460011.151,2.3330349,3.005,2795,15.6213,12107.6,2951,10.4879,296.179,5986.5,4.32,1.56,2020-06-17 20:08,2023-03-27 10:10
2003.01,58463434,PC,13h26m06.51s,201.527127,-27d24m45.22s,-27.41256,-11.957,-11.202,2458579.365,,3.529,3860,15.7171,194.656,1040,9.6569,379.972,7043.2,3.98,2.46,2020-06-17 20:08,2025-07-22 12:04
2004.01,439610306,FP,09h33m52.07s,143.46695,-55d10m32.75s,-55.175763,-12.167,3.727,2458545.266,1.79988,3.518,180,3.32197,6540.68,2505,9.0607,258.885,6136.9,3.85,2.46,2020-06-17 20:08,2021-10-29 12:59
2005.01,147660886,PC,10h56m07.6s,164.031654,-43d22m36.11s,-43.376697,-25.251,8.208,2459293.998,17.3057923,4.1729767,2807.066874,12.4978402,525.9409472,1221.388975,9.4916,328.475,6995.5,4.1,2.2275901,2020-06-17 20:08,2025-07-09 16:00
2006.01,41173048,FA,06h04m53.92s,91.22465,-69d21m37.16s,-69.360322,8.246,22.049,2459194.004,6.40938,2.356,280,10.1474,50.0267,740,9.2225,485.257,4650,2.54,8.3,2020-06-17 20:08,2021-10-29 12:59
2007.01,219466784,PC,13h59m26.02s,209.858415,+74d09m04.42s,74.151228,64.23,-63.374,2458872.69,,9.1654068,912.2762923,3.1563904,1.4952399,282.0314027,10.199,115.409,5249,4.48682,0.895408,2020-06-17 20:19,2021-10-29 12:59
2008.01,70887357,FP,04h15m25.83s,63.857632,-16d54m07.72s,-16.902144,47.551,-30.747,2458454.333,723.8345008,7.382946,3119.298369,13.1361697,1.3572621,275.2869842,8.64807,139.212,5463,3.77778,1.94771,2020-06-17 20:19,2024-09-18 10:08
2009.01,243187830,PC,01h07m37.99s,16.908292,+22d57m10.32s,22.952868,103.07,-490.315,2458783.769,1071.089845,2.1734134,865.169438,2.2407785,1.3880259,276.8338183,7.3551,20.5272,4755.33,4.62683,0.701499,2020-06-17 20:19,2023-11-04 12:02
201.01,350618622,CP,05h49m36.43s,87.401782,-54d54m37.52s,-54.910423,7.731,66.448,2460177.325,52.9781419,4.7965246,6347.269096,11.4471492,30.2653161,598.2132842,8.5822,113.825,6461.8,4.35,1.33031,2019-05-07 17:42,2023-11-02 12:02
201.02,350618622,PC,05h49m36.43s,87.401782,-54d54m37.52s,-54.910423,7.731,66.448,2460175.602,5.8492379,3.257,109,1.18919,389.669,1237,8.5822,113.825,6461.8,4.35,1.33,2020-03-11 15:13,2023-11-15 16:02
2010.01,26547036,CP,19h28m40.07s,292.166942,+53d29m14.53s,53.487369,40.519,11.106,2459846.977,1134.672396,8.6844623,11679.21595,11.7582195,8.6347102,437.2015486,9.26693,109.19,5842,4.39929,1.0735199,2020-06-17 20:19,2025-01-11 12:03
2011.01,136916387,KP,15h21m45.63s,230.440115,-48d19m07.74s,-48.318817,-1624.05,-276.024,2458631.768,11.5778362,3.8772499,217.3994918,1.5422129,99.9013415,806.3295569,5.0494,14.682,5739,4.51,1.02607,2020-06-17 20:50,2024-01-31 16:02
